frame_proto,packet_total,packets_half,volume_total,volume_half
eth:ethertype:ip:tcp:lpd,15,5,14310,4770
eth:ethertype:ip:tcp:laplink,12,4,11448,3816
eth:ethertype:ip:tcp:kt,2,1,1132,566
eth:ethertype:ip:tcp:kpasswd,11,9,10494,8586
eth:ethertype:ip:tcp:knet,5,3,3854,2722
eth:ethertype:ip:tcp:kismet:data,8,3,746,280
eth:ethertype:ip:tcp:kip,1,1,1078,1078
eth:ethertype:ip:tcp:kerberos,13,8,12402,7632
eth:ethertype:ip:tcp:kdsp,15,5,14310,4770
eth:ethertype:ip:tcp:kafka,6,5,5724,4770
eth:ethertype:ip:tcp:isakmp,21,10,19566,10268
eth:ethertype:ip:tcp:irc,83,41,76809,37365
eth:ethertype:ip:tcp:ipsictl,41,21,36814,18822
eth:ethertype:ip:tcp:ipdc:q931,6,4,5956,3800
eth:ethertype:ip:tcp:ipdc,23,11,23166,10850
eth:ethertype:ip:tcp:imap:tls,43,24,36244,19716
eth:ethertype:ip:tcp:imap:data,1,1,1078,1078
eth:ethertype:ip:tcp:imap,3,2,277,184
eth:ethertype:ip:tcp:ilp,1,1,1078,1078
eth:ethertype:ip:tcp:iec60870_104:iec60870_asdu:iec60870_asdu:iec60870_asdu,3,0,3234,0
eth:ethertype:ip:tcp:iec60870_104:iec60870_asdu:iec60870_asdu,4,2,4312,2156
eth:ethertype:ip:tcp:iec60870_104:iec60870_asdu,6,2,5444,1644
eth:ethertype:ip:tcp:iec60870_104,17,9,14844,8058
eth:ethertype:ip:tcp:idmp,11,3,10494,2862
eth:ethertype:ip:tcp:icap:http:data,5,1,4878,1078
eth:ethertype:ip:tcp:icap,26,14,25112,13556
eth:ethertype:ip:tcp:hzlcst,7,3,6678,2862
eth:ethertype:ip:tcp:http:xml,2,0,1082,0
eth:ethertype:ip:tcp:http:ipp,3,2,3234,2156
eth:ethertype:ip:tcp:http:data-text-lines,4,2,5684,2842
eth:ethertype:ip:tcp:http:data,142,71,127981,64667
eth:ethertype:ip:tcp:http,778675,395897,97128361,49152566
eth:ethertype:ip:tcp:hl7:data,1,0,1078,0
eth:ethertype:ip:tcp:hislip,16,12,15264,11448
eth:ethertype:ip:tcp:h501,31,15,28796,13664
eth:ethertype:ip:tcp:h248,40,20,32719,16060
eth:ethertype:ip:tcp:h1:data,1,0,1078,0
eth:ethertype:ip:tcp:gtpprime,5,3,4878,2722
eth:ethertype:ip:tcp:gtp:gtpv2,14,10,11623,8298
eth:ethertype:ip:tcp:gtp,6,4,4932,3800
eth:ethertype:ip:tcp:gsm_ipa:sccp,1,1,566,566
eth:ethertype:ip:tcp:gsm_ipa:gsm_abis_rsl:gsm_cbch:data,1,1,1078,1078
eth:ethertype:ip:tcp:gsm_ipa:gsm_abis_rsl,79,43,74774,40462
eth:ethertype:ip:tcp:gsm_ipa:gsm_abis_oml,2,1,2156,1078
eth:ethertype:ip:tcp:gsm_ipa:data,1,1,566,566
eth:ethertype:ip:tcp:gsm_ipa,2,1,1644,1078
eth:ethertype:ip:tcp:gryphon,14,8,13356,7632
eth:ethertype:ip:tcp:gopher,34,23,33488,23026
eth:ethertype:ip:tcp:gnutella,31,13,27570,12882
eth:ethertype:ip:tcp:git,1,0,1078,0
eth:ethertype:ip:tcp:gift,37,19,31234,15872
eth:ethertype:ip:tcp:gearman,43,23,40258,22002
eth:ethertype:ip:tcp:gdsdb,9,2,8586,1908
eth:ethertype:ip:tcp:gadu-gadu,11,6,10494,5724
eth:ethertype:ip:tcp:ftp-data,30,15,28804,14402
eth:ethertype:ip:tcp:ftp,49,27,33030,18644
eth:ethertype:ip:tcp:exec,28,18,26508,17388
eth:ethertype:ip:tcp:enip,10,4,9540,3816
eth:ethertype:ip:tcp:elcom,22,6,16585,3945
eth:ethertype:ip:tcp:elasticsearch,36,20,34020,18292
eth:ethertype:ip:tcp:ecmp,31,15,28842,13750
eth:ethertype:ip:tcp:echo,57,30,42007,20652
eth:ethertype:ip:tcp:ecatf:tc_nv,3,1,1739,566
eth:ethertype:ip:tcp:ecatf:ioraw,3,3,3234,3234
eth:ethertype:ip:tcp:ecatf:ecat_mailbox,1,0,1078,0
eth:ethertype:ip:tcp:ecatf:ecat,1,0,1078,0
eth:ethertype:ip:tcp:ecatf:data,28,14,23566,11018
eth:ethertype:ip:tcp:dtps,11,5,10494,4770
eth:ethertype:ip:tcp:dsi:data,49,27,44430,24530
eth:ethertype:ip:tcp:dsi:afp:data,1,1,1078,1078
eth:ethertype:ip:tcp:dpp,11,6,10494,5724
eth:ethertype:ip:tcp:doip,39,22,34922,19140
eth:ethertype:ip:tcp:dof,16,7,15000,6290
eth:ethertype:ip:tcp:dns,21,10,20158,9664
eth:ethertype:ip:tcp:dlm3,3,1,3234,1078
eth:ethertype:ip:tcp:dlep,42,22,41600,22444
eth:ethertype:ip:tcp:distcc,33,18,32022,17884
eth:ethertype:ip:tcp:diameter:data,31,15,31386,15534
eth:ethertype:ip:tcp:dhcpv6.bulk_leasequery,10,4,9540,3816
eth:ethertype:ip:tcp:db-lsp,34,18,32464,16860
eth:ethertype:ip:tcp:daytime,37,15,25104,8280
eth:ethertype:ip:tcp:data,1194969,598105,1105813173,553178787
eth:ethertype:ip:tcp:cvspserver,43,20,38791,18682
eth:ethertype:ip:tcp:coap,38,22,30795,17088
eth:ethertype:ip:tcp:chargen,41,24,27611,17041
eth:ethertype:ip:tcp:cflow,43,18,34367,14379
eth:ethertype:ip:tcp:cbsp,46,25,41198,23410
eth:ethertype:ip:tcp:c1222,19,10,17070,9524
eth:ethertype:ip:tcp:bittorrent,407,198,309869,158159
eth:ethertype:ip:tcp:bgp,44,21,32536,15605
eth:ethertype:ip:tcp:beep,28,11,25112,9702
eth:ethertype:ip:tcp:ax4000,46,23,42998,21818
eth:ethertype:ip:tcp:atmtcp:data,34,17,28104,14246
eth:ethertype:ip:tcp:asap,50,26,40463,21466
eth:ethertype:ip:tcp:artemis,10,5,9540,4770
eth:ethertype:ip:tcp:ardp,25,13,22654,12122
eth:ethertype:ip:tcp:ancp,12,3,11448,2862
eth:ethertype:ip:tcp:ams,31,16,29758,15232
eth:ethertype:ip:tcp:ajp13,11,5,10618,4770
eth:ethertype:ip:tcp:ajns,38,18,34744,16612
eth:ethertype:ip:tcp:agentx,9,4,8586,3816
eth:ethertype:ip:tcp:acdr:data,11,4,10494,3816
eth:ethertype:ip:tcp:acdr,32,19,23467,14969
eth:ethertype:ip:tcp:acap,12,4,10888,3288
eth:ethertype:ip:tcp,2135314927,1067902677,130169806364,65101683819
eth:ethertype:ip:nhrp,1,0,66,0
eth:ethertype:ip:ipv6:udp:dns,173,66,28571,10887
eth:ethertype:ip:ipv6:icmpv6:data,11046,5529,1065378,533232
eth:ethertype:ip:ip:udp:data,44,20,3824,1736
eth:ethertype:ip:ip:tcp:data,2,0,200,0
eth:ethertype:ip:ip:tcp,407,204,40652,20376
eth:ethertype:ip:ip:icmp:data,8189,4091,802522,400918
eth:ethertype:ip:ip,5,0,300,0
eth:ethertype:ip:igmp:igmp,106,33,6360,1980
eth:ethertype:ip:icmp:ip:xtp,3,0,880,0
eth:ethertype:ip:icmp:ip:vrrp,11,4,2006,549
eth:ethertype:ip:icmp:ip:vines_frp:vines_ip:data,1,1,162,162
eth:ethertype:ip:icmp:ip:vines_frp:vines_ip,1,1,162,162
eth:ethertype:ip:icmp:ip:udp:xyplex,3,1,231,80
eth:ethertype:ip:icmp:ip:udp:xdmcp,1,1,77,77
eth:ethertype:ip:icmp:ip:udp:wtp,1,1,72,72
eth:ethertype:ip:icmp:ip:udp:wtls,20,13,4439,3517
eth:ethertype:ip:icmp:ip:udp:wsp,2,2,533,533
eth:ethertype:ip:icmp:ip:udp:wlccp,12,1,2815,79
eth:ethertype:ip:icmp:ip:udp:wisun.eapol_relay,2,1,152,80
eth:ethertype:ip:icmp:ip:udp:who,3,2,286,160
eth:ethertype:ip:icmp:ip:udp:vxlan,2,2,152,152
eth:ethertype:ip:icmp:ip:udp:vuze-dht,15,1,3968,590
eth:ethertype:ip:icmp:ip:udp:vrt,2,0,238,0
eth:ethertype:ip:icmp:ip:udp:ulp,3,2,224,152
eth:ethertype:ip:icmp:ip:udp:udpencap:esp,14,4,3456,791
eth:ethertype:ip:icmp:ip:udp:uaudp,8,8,2132,2132
eth:ethertype:ip:icmp:ip:udp:tzsp,2,2,533,533
eth:ethertype:ip:icmp:ip:udp:tsp,2,0,152,0
eth:ethertype:ip:icmp:ip:udp:ts2,1,0,79,0
eth:ethertype:ip:icmp:ip:udp:tplink-smarthome:json:data-text-lines,3,0,627,0
eth:ethertype:ip:icmp:ip:udp:tpcp,1,1,433,433
eth:ethertype:ip:icmp:ip:udp:tipc:data,1,1,433,433
eth:ethertype:ip:icmp:ip:udp:thrift,2,1,533,100
eth:ethertype:ip:icmp:ip:udp:tacacs,3,0,238,0
eth:ethertype:ip:icmp:ip:udp:syslog,1,0,108,0
eth:ethertype:ip:icmp:ip:udp:ssdp,5,0,1215,0
eth:ethertype:ip:icmp:ip:udp:srvloc,84,35,27095,11375
eth:ethertype:ip:icmp:ip:udp:snmp,7,3,910,390
eth:ethertype:ip:icmp:ip:udp:slimp3,1,1,72,72
eth:ethertype:ip:icmp:ip:udp:sigcomp,24,8,11076,3288
eth:ethertype:ip:icmp:ip:udp:sctp,1,1,94,94
eth:ethertype:ip:icmp:ip:udp:scop:data,2,0,533,0
eth:ethertype:ip:icmp:ip:udp:sap,4,3,303,232
eth:ethertype:ip:icmp:ip:udp:rx,1,1,134,134
eth:ethertype:ip:icmp:ip:udp:rtcp,78,44,10265,4336
eth:ethertype:ip:icmp:ip:udp:rsvp,4,3,690,612
eth:ethertype:ip:icmp:ip:udp:rsip,3,1,605,72
eth:ethertype:ip:icmp:ip:udp:rpc,7,2,1108,245
eth:ethertype:ip:icmp:ip:udp:ripng,8,0,2132,0
eth:ethertype:ip:icmp:ip:udp:rip,9,7,1881,1693
eth:ethertype:ip:icmp:ip:udp:rdt,1,1,96,96
eth:ethertype:ip:icmp:ip:udp:rdpudp:tls,1,1,99,99
eth:ethertype:ip:icmp:ip:udp:rdpudp,20,9,2519,1404
eth:ethertype:ip:icmp:ip:udp:raknet:raknet:raknet,181,81,20764,9800
eth:ethertype:ip:icmp:ip:udp:raknet:raknet,16,10,4241,2226
eth:ethertype:ip:icmp:ip:udp:raknet,34,17,5110,2693
eth:ethertype:ip:icmp:ip:udp:quic,1,1,590,590
eth:ethertype:ip:icmp:ip:udp:quake:data,4,4,1066,1066
eth:ethertype:ip:icmp:ip:udp:quake3:data,19,17,4738,4069
eth:ethertype:ip:icmp:ip:udp:quake3,1,0,71,0
eth:ethertype:ip:icmp:ip:udp:quake2,2,2,533,533
eth:ethertype:ip:icmp:ip:udp:pn_rt:pn_io,1,1,78,78
eth:ethertype:ip:icmp:ip:udp:pktc,5,1,1145,79
eth:ethertype:ip:icmp:ip:udp:pfcp,3,0,613,0
eth:ethertype:ip:icmp:ip:udp:packetbb,2,2,156,156
eth:ethertype:ip:icmp:ip:udp:openvpn,8,2,1584,260
eth:ethertype:ip:icmp:ip:udp:nxp_802154_sniffer:wpan:data,8,2,2132,533
eth:ethertype:ip:icmp:ip:udp:ntp,33,16,4550,1961
eth:ethertype:ip:icmp:ip:udp:ncp,1,0,104,0
eth:ethertype:ip:icmp:ip:udp:nbns,2,0,160,0
eth:ethertype:ip:icmp:ip:udp:nbdgm,18,12,1546,1008
eth:ethertype:ip:icmp:ip:udp:msproxy,1,0,433,0
eth:ethertype:ip:icmp:ip:udp:msmms,5,0,1145,0
eth:ethertype:ip:icmp:ip:udp:mint,7,2,1149,258
eth:ethertype:ip:icmp:ip:udp:mikey,2,1,159,80
eth:ethertype:ip:icmp:ip:udp:mih,2,2,152,152
eth:ethertype:ip:icmp:ip:udp:memcache,1,0,71,0
eth:ethertype:ip:icmp:ip:udp:megaco:data,4,2,1066,533
eth:ethertype:ip:icmp:ip:udp:mdns,4,1,457,108
eth:ethertype:ip:icmp:ip:udp:lwapp:wlan:data,1,1,79,79
eth:ethertype:ip:icmp:ip:udp:lwapp,1,0,79,0
eth:ethertype:ip:icmp:ip:udp:llmnr,1,1,79,79
eth:ethertype:ip:icmp:ip:udp:llc:data,9,5,1466,771
eth:ethertype:ip:icmp:ip:udp:llc,2,0,144,0
eth:ethertype:ip:icmp:ip:udp:lisp-data:ip,1,0,80,0
eth:ethertype:ip:icmp:ip:udp:l2tp:ppp:data,11,7,1100,700
eth:ethertype:ip:icmp:ip:udp:knet,10,8,1904,1754
eth:ethertype:ip:icmp:ip:udp:kip,3,2,240,160
eth:ethertype:ip:icmp:ip:udp:kink,2,2,533,533
eth:ethertype:ip:icmp:ip:udp:isakmp,1,0,102,0
eth:ethertype:ip:icmp:ip:udp:infiniband,2,1,158,79
eth:ethertype:ip:icmp:ip:udp:ieee1722:data,4,2,1066,533
eth:ethertype:ip:icmp:ip:udp:idn,7,3,1679,613
eth:ethertype:ip:icmp:ip:udp:icp,4,2,1066,533
eth:ethertype:ip:icmp:ip:udp:iapp,1,1,72,72
eth:ethertype:ip:icmp:ip:udp:h501,3,0,604,0
eth:ethertype:ip:icmp:ip:udp:h248,6,1,1218,80
eth:ethertype:ip:icmp:ip:udp:h225:data,1,1,433,433
eth:ethertype:ip:icmp:ip:udp:h225,2,1,179,100
eth:ethertype:ip:icmp:ip:udp:gtp:gtpv2,8,7,800,700
eth:ethertype:ip:icmp:ip:udp:gsmtap:data,2,0,258,0
eth:ethertype:ip:icmp:ip:udp:gprs-ns,73,36,8055,4231
eth:ethertype:ip:icmp:ip:udp:goose:cotp,2,0,718,0
eth:ethertype:ip:icmp:ip:udp:geneve,3,2,213,142
eth:ethertype:ip:icmp:ip:udp:find,3,1,230,79
eth:ethertype:ip:icmp:ip:udp:eth:llc:data,12,2,3198,533
eth:ethertype:ip:icmp:ip:udp:enrp,1,0,72,0
eth:ethertype:ip:icmp:ip:udp:elasticsearch,4,4,1066,1066
eth:ethertype:ip:icmp:ip:udp:echo,3,0,282,0
eth:ethertype:ip:icmp:ip:udp:dvb_ipdc:data,4,2,501,243
eth:ethertype:ip:icmp:ip:udp:dtls,11,6,1631,1204
eth:ethertype:ip:icmp:ip:udp:dpnet,8,4,1102,418
eth:ethertype:ip:icmp:ip:udp:dof,2,2,159,159
eth:ethertype:ip:icmp:ip:udp:dns,781,373,99622,46503
eth:ethertype:ip:icmp:ip:udp:dmp,3,1,612,79
eth:ethertype:ip:icmp:ip:udp:dis,31,13,8585,3788
eth:ethertype:ip:icmp:ip:udp:dhcpv6,2,1,169,97
eth:ethertype:ip:icmp:ip:udp:dcc,4,2,1066,533
eth:ethertype:ip:icmp:ip:udp:daytime,1,1,80,80
eth:ethertype:ip:icmp:ip:udp:data,219374,109287,27277984,13567019
eth:ethertype:ip:icmp:ip:udp:cups,1,0,79,0
eth:ethertype:ip:icmp:ip:udp:corosync_totemnet:data,5,1,1137,71
eth:ethertype:ip:icmp:ip:udp:coap:cbor,2,1,166,83
eth:ethertype:ip:icmp:ip:udp:cnip:data,4,4,1457,1457
eth:ethertype:ip:icmp:ip:udp:cnip,13,12,2370,2257
eth:ethertype:ip:icmp:ip:udp:cldap,1,1,129,129
eth:ethertype:ip:icmp:ip:udp:cipio,6,1,1040,134
eth:ethertype:ip:icmp:ip:udp:chargen,1,1,80,80
eth:ethertype:ip:icmp:ip:udp:capwap.data,3,1,222,71
eth:ethertype:ip:icmp:ip:udp:c1222,14,8,3456,1857
eth:ethertype:ip:icmp:ip:udp:bjnp,8,2,673,151
eth:ethertype:ip:icmp:ip:udp:bfd_echo,2,0,144,0
eth:ethertype:ip:icmp:ip:udp:bfd,13,2,3298,533
eth:ethertype:ip:icmp:ip:udp:bat.vis:data,7,2,1031,160
eth:ethertype:ip:icmp:ip:udp:bat.gw:ip,1,1,433,433
eth:ethertype:ip:icmp:ip:udp:bat.gw:data,1,1,100,100
eth:ethertype:ip:icmp:ip:udp:bat:data,19,10,5136,2000
eth:ethertype:ip:icmp:ip:udp:ayiya,6,1,914,120
eth:ethertype:ip:icmp:ip:udp:ax4000,4,1,295,72
eth:ethertype:ip:icmp:ip:udp:ath,2,2,533,533
eth:ethertype:ip:icmp:ip:udp:amt:ip,1,0,84,0
eth:ethertype:ip:icmp:ip:udp:amt,1,1,108,108
eth:ethertype:ip:icmp:ip:udp:ajns,1,1,81,81
eth:ethertype:ip:icmp:ip:udp:acdr,3,2,230,151
eth:ethertype:ip:icmp:ip:udp:a21,9,0,2290,0
eth:ethertype:ip:icmp:ip:udp,85717,42802,15011756,7421240
eth:ethertype:ip:icmp:ip:tcp:x11,42,23,8393,4663
eth:ethertype:ip:icmp:ip:tcp:wow,2,2,416,416
eth:ethertype:ip:icmp:ip:tcp:whois,2,1,422,312
eth:ethertype:ip:icmp:ip:tcp:vnc,1,0,182,0
eth:ethertype:ip:icmp:ip:tcp:vicp,1,0,182,0
eth:ethertype:ip:icmp:ip:tcp:tpm,2,1,364,182
eth:ethertype:ip:icmp:ip:tcp:tls,19908,9987,4169228,2098966
eth:ethertype:ip:icmp:ip:tcp:time,2,0,427,0
eth:ethertype:ip:icmp:ip:tcp:tibia,16,11,3678,2397
eth:ethertype:ip:icmp:ip:tcp:telnet,7,4,842,512
eth:ethertype:ip:icmp:ip:tcp:tds,1,0,206,0
eth:ethertype:ip:icmp:ip:tcp:stun,8,2,2240,505
eth:ethertype:ip:icmp:ip:tcp:ssh,3177,1584,524126,258294
eth:ethertype:ip:icmp:ip:tcp:srvloc,1,1,200,200
eth:ethertype:ip:icmp:ip:tcp:socks,4,4,1552,1552
eth:ethertype:ip:icmp:ip:tcp:snmp,4,1,745,199
eth:ethertype:ip:icmp:ip:tcp:smtp:data-text-lines,39,18,8821,4278
eth:ethertype:ip:icmp:ip:tcp:slsk,1,1,186,186
eth:ethertype:ip:icmp:ip:tcp:sametime,7,7,770,770
eth:ethertype:ip:icmp:ip:tcp:rpc,5,0,694,0
eth:ethertype:ip:icmp:ip:tcp:r3,2,1,296,110
eth:ethertype:ip:icmp:ip:tcp:pptp:data,5,5,550,550
eth:ethertype:ip:icmp:ip:tcp:pcp,1,0,186,0
eth:ethertype:ip:icmp:ip:tcp:openvpn,342,161,84641,39468
eth:ethertype:ip:icmp:ip:tcp:openflow,2,1,509,201
eth:ethertype:ip:icmp:ip:tcp:ndps,1,0,182,0
eth:ethertype:ip:icmp:ip:tcp:nbss,3,2,330,220
eth:ethertype:ip:icmp:ip:tcp:mysql,114,52,20372,9341
eth:ethertype:ip:icmp:ip:tcp:lpd:data,1,0,124,0
eth:ethertype:ip:icmp:ip:tcp:lisp-tcp,1,0,376,0
eth:ethertype:ip:icmp:ip:tcp:lbmsrs,9,6,862,564
eth:ethertype:ip:icmp:ip:tcp:knet,2,0,273,0
eth:ethertype:ip:icmp:ip:tcp:kip,4,2,512,220
eth:ethertype:ip:icmp:ip:tcp:kerberos,6,5,1079,969
eth:ethertype:ip:icmp:ip:tcp:isakmp,11,5,1874,842
eth:ethertype:ip:icmp:ip:tcp:irc,39,20,4290,2200
eth:ethertype:ip:icmp:ip:tcp:http:data-text-lines,1,0,217,0
eth:ethertype:ip:icmp:ip:tcp:http:data,2,0,908,0
eth:ethertype:ip:icmp:ip:tcp:http,2,1,996,498
eth:ethertype:ip:icmp:ip:tcp:hiqnet,1,1,186,186
eth:ethertype:ip:icmp:ip:tcp:hart_ip,1,1,186,186
eth:ethertype:ip:icmp:ip:tcp:gtpprime,1,1,359,359
eth:ethertype:ip:icmp:ip:tcp:gsm_ipa:gsm_abis_rsl,16,8,2668,1168
eth:ethertype:ip:icmp:ip:tcp:gryphon,41,24,5878,3432
eth:ethertype:ip:icmp:ip:tcp:ftp-data,2,1,220,110
eth:ethertype:ip:icmp:ip:tcp:ftp,66,36,11699,7018
eth:ethertype:ip:icmp:ip:tcp:elasticsearch,47,25,9346,5062
eth:ethertype:ip:icmp:ip:tcp:dpp,1,1,186,186
eth:ethertype:ip:icmp:ip:tcp:dns,300,144,55049,25990
eth:ethertype:ip:icmp:ip:tcp:diameter:data,1,0,386,0
eth:ethertype:ip:icmp:ip:tcp:daytime,5,1,1198,270
eth:ethertype:ip:icmp:ip:tcp:data,395,199,81675,39758
eth:ethertype:ip:icmp:ip:tcp:cops,1,0,182,0
eth:ethertype:ip:icmp:ip:tcp:cbsp,1,0,182,0
eth:ethertype:ip:icmp:ip:tcp:bittorrent,4,4,752,752
eth:ethertype:ip:icmp:ip:tcp:bgp,1,1,182,182
eth:ethertype:ip:icmp:ip:tcp:ancp,3,0,1269,0
eth:ethertype:ip:icmp:ip:tcp:agentx,1,1,186,186
eth:ethertype:ip:icmp:ip:tcp:9p,1,1,173,173
eth:ethertype:ip:icmp:ip:tcp,69243,34602,7071828,3511613
eth:ethertype:ip:icmp:ip:shim6,1,1,127,127
eth:ethertype:ip:icmp:ip:sctp,5,2,851,491
eth:ethertype:ip:icmp:ip:rsvp,1,0,162,0
eth:ethertype:ip:icmp:ip:pim,1,0,590,0
eth:ethertype:ip:icmp:ip:pgm,1,0,484,0
eth:ethertype:ip:icmp:ip:ospf,14,7,3716,1230
eth:ethertype:ip:icmp:ip:osi:data,3,1,393,69
eth:ethertype:ip:icmp:ip:osi:clnp:data,1,0,327,0
eth:ethertype:ip:icmp:ip:osi:clnp,1,1,63,63
eth:ethertype:ip:icmp:ip:mpls,2,0,271,0
eth:ethertype:ip:icmp:ip:mipv6,3,2,1271,681
eth:ethertype:ip:icmp:ip:lwl4,2,1,321,159
eth:ethertype:ip:icmp:ip:l2tp,1,0,118,0
eth:ethertype:ip:icmp:ip:ipv6.routing:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts,1,0,380,0
eth:ethertype:ip:icmp:ip:ipv6.routing,5,1,431,63
eth:ethertype:ip:icmp:ip:ipv6.hopopts,78,55,5956,4254
eth:ethertype:ip:icmp:ip:ipv6.fraghdr:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts,1,0,162,0
eth:ethertype:ip:icmp:ip:ipv6.fraghdr:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts,1,0,141,0
eth:ethertype:ip:icmp:ip:ipv6.fraghdr:ipv6.hopopts:ipv6.hopopts,1,0,84,0
eth:ethertype:ip:icmp:ip:ipv6.fraghdr:ipv6.hopopts:icmp,1,1,234,234
eth:ethertype:ip:icmp:ip:ipv6.fraghdr:data,1,0,128,0
eth:ethertype:ip:icmp:ip:ipv6.dstopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts,1,0,590,0
eth:ethertype:ip:icmp:ip:ipv6.dstopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts,1,0,162,0
eth:ethertype:ip:icmp:ip:ipv6.dstopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts,1,0,118,0
eth:ethertype:ip:icmp:ip:ipv6:data,4,2,432,200
eth:ethertype:ip:icmp:ip:ipv6,1,0,74,0
eth:ethertype:ip:icmp:ip:ip:udp:rtcp,2,1,1180,590
eth:ethertype:ip:icmp:ip:ip:udp:dns,4,2,2360,1180
eth:ethertype:ip:icmp:ip:ip:udp:data,66,31,37058,17300
eth:ethertype:ip:icmp:ip:ipcomp:data,4,2,1024,272
eth:ethertype:ip:icmp:ip:ip,18,11,1300,810
eth:ethertype:ip:icmp:ip:igrp,36,12,2614,869
eth:ethertype:ip:icmp:ip:igmp:igmp,10,6,1004,620
eth:ethertype:ip:icmp:ip:icmpv6:data,1,0,162,0
eth:ethertype:ip:icmp:ip:icmpv6,15,8,2234,1040
eth:ethertype:ip:icmp:ip:icmp:data,1,1,162,162
eth:ethertype:ip:icmp:ip:icmp,85145,42446,8691714,4333990
eth:ethertype:ip:icmp:ip:hip,1,0,136,0
eth:ethertype:ip:icmp:ip:gre:ip:udp:dns,11,3,6490,1770
eth:ethertype:ip:icmp:ip:gre:ip,1,0,70,0
eth:ethertype:ip:icmp:ip:gre:data,177,98,15130,8572
eth:ethertype:ip:icmp:ip:gre,339,164,28401,13940
eth:ethertype:ip:icmp:ip:eth:ethertype:data,2,0,822,0
eth:ethertype:ip:icmp:ip:etherip:eth:ethertype:data,3,0,467,0
eth:ethertype:ip:icmp:ip:esp,2384,1188,290855,147043
eth:ethertype:ip:icmp:ip:eigrp,2,1,324,162
eth:ethertype:ip:icmp:ip:dsr:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts,1,0,326,0
eth:ethertype:ip:icmp:ip:dsr:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts,1,0,96,0
eth:ethertype:ip:icmp:ip:data,1154,217,119514,33174
